eps,N,log_eps,log_N
13.8798209767,29,2.63043605706,3.36729582999
9.68934092782,57,2.27102640788,4.04305126783
6.76401574437,102,1.91161675871,4.62497281328
4.72188039733,192,1.55220710953,5.25749537203
3.29628956071,369,1.19279746035,5.91079664404
2.30110124649,714,0.833387811167,6.57088296234
1.60637190668,1409,0.473978161988,7.2506355119
1.12138946797,2801,0.114568512809,7.93773177526
0.782828891403,5493,-0.24484113637,8.61122983334
0.546483706791,10614,-0.60425078555,9.26992916339
0.38149389358,20314,-0.963660434729,9.9190655825
0.266316431817,37966,-1.32307008391,10.5444463014
0.185912390865,68889,-1.68247973309,11.1402517926
0.129783268878,120660,-2.04188938227,11.700731952
0.0906001843248,203249,-2.40129903145,12.2221871073
0.0632469305994,332375,-2.76070868062,12.7140191285
0.0441519436197,526522,-3.1201183298,13.1740483951
0.0308219562108,811394,-3.47952797898,13.6065090351
0.0215164476753,1259133,-3.83893762816,14.0459339468
0.0150203808415,2251201,-4.19834727734,14.6269744095
0.0104855524494,4660420,-4.55775692652,15.3546161308
0.00731984170897,8899493,-4.9171665757,16.0015048668
0.00510989601198,14940707,-5.27657622488,16.5196000592
0.00356715872985,23474198,-5.63598587406,16.9714124185
0.00249019185011,35805989,-5.99539552324,17.3936257279
0.00173837384876,52727228,-6.35480517242,17.7806425404
0.00121353848215,75087529,-6.7142148216,18.1341650444
0.000847157042035,105647281,-7.07362447078,18.4756165658
