eps,N,log_eps,log_N
0.827055582427,93,-0.189883376511,4.53259949315
0.65643445079,141,-0.420932436698,4.94875989038
0.521012368866,223,-0.651981496884,5.40717177146
0.413527791213,339,-0.883030557071,5.82600010738
0.328217225395,510,-1.11407961726,6.23441072572
0.260506184433,792,-1.34512867744,6.67456139181
0.206763895607,1233,-1.57617773763,7.11720550316
0.164108612698,1901,-1.80722679782,7.55013534249
0.130253092217,2927,-2.038275858,7.98173328669
0.103381947803,4515,-2.26932491819,8.41516046585
0.0820543063488,6950,-2.50037397838,8.84649693856
0.0651265461083,10734,-2.73142303856,9.28117155274
0.0516909739017,16602,-2.96247209875,9.71727844901
0.0410271531744,25633,-3.19352115894,10.1516358628
0.0325632730541,39716,-3.42457021912,10.5895094082
0.0258454869508,64712,-3.65561927931,11.0777019347
0.0205135765872,118993,-3.8866683395,11.6868199468
0.0162816365271,237887,-4.11771739968,12.37955105
0.0129227434754,456188,-4.34876645987,13.0306602842
0.0102567882936,812718,-4.57981552006,13.6081394649
0.00814081826354,1342798,-4.81086458024,14.1102660547
0.00646137173771,2079322,-5.04191364043,14.547552437
0.0051283941468,3044295,-5.27296270062,14.9287799052
0.00407040913177,4264677,-5.5040117608,15.2658770033
0.00323068586885,5770969,-5.73506082099,15.568350562
0.0025641970734,7587696,-5.96610988118,15.842038546
0.00203520456588,9771898,-6.19715894136,16.0950212733
0.00161534293443,12412405,-6.42820800155,16.3342069337
