eps,N,log_eps,log_N
0.791330831417,86,-0.234039154132,4.45434729625
0.628079697123,125,-0.465088214318,4.8283137373
0.498507185967,189,-0.696137274505,5.24174701506
0.395665415709,285,-0.927186334692,5.65248918027
0.314039848562,440,-1.15823539488,6.08677472691
0.249253592983,679,-1.38928445507,6.52062112756
0.197832707854,1045,-1.62033351525,6.9517721644
0.157019924281,1626,-1.85138257544,7.39387829011
0.124626796492,2518,-2.08243163562,7.8312202146
0.0989163539272,3936,-2.31348069581,8.27792025817
0.0785099621404,6163,-2.544529756,8.72631895096
0.0623133982458,9634,-2.77557881618,9.17305378719
0.0494581769636,14960,-3.00662787637,9.61313525153
0.0392549810702,23298,-3.23767693656,10.056122799
0.0311566991229,36041,-3.46872599674,10.4924124583
0.0247290884818,56294,-3.69977505693,10.9383432365
0.0196274905351,94361,-3.93082411712,11.4548831312
0.0155783495615,169413,-4.1618731773,12.0400947997
0.0123645442409,306115,-4.39292223749,12.6317161273
0.00981374526755,528167,-4.62397129768,13.1771678006
0.00778917478073,868978,-4.85502035786,13.6750730875
0.00618227212045,1364133,-5.08606941805,14.12602962
0.00490687263378,2045632,-5.31711847824,14.5312173462
0.00389458739037,2955084,-5.54816753842,14.8990376348
0.00309113606022,4136644,-5.77921659861,15.235395389
0.00245343631689,5649787,-6.0102656588,15.5471284033
0.00194729369518,7565284,-6.24131471898,15.8390804458
0.00154556803011,9974304,-6.47236377917,16.1155227439
