eps,N,log_eps,log_N
1.57938296429,28,0.45703424183,3.33220451018
1.10254880248,49,0.0976245926507,3.89182029811
0.769676442856,92,-0.261785056529,4.52178857705
0.537302136062,171,-0.621194705708,5.1416635565
0.375084346281,320,-0.980604354887,5.76832099579
0.261842001702,612,-1.34001400407,6.41673228251
0.182788843456,1219,-1.69942365325,7.10578612948
0.12760275691,2399,-2.05883330242,7.78280726284
0.0890779943854,4761,-2.4182429516,8.46821300919
0.0621843075797,9415,-2.77765260078,9.15005944109
0.0434101388996,18476,-3.13706224996,9.82422787155
0.0303041109988,35371,-3.49647189914,10.4736475543
0.0211549459805,65430,-3.85588154832,11.0887361479
0.0147680207302,116122,-4.2152911975,11.6623966416
0.0103093828028,196859,-4.57470084668,12.1902430154
0.00719685973614,321862,-4.93411049586,12.6818781612
0.005024043733,509803,-5.29352014504,13.1417796556
0.00350722625652,785987,-5.65292979422,13.5746955318
0.0024483536904,1190498,-6.0123394434,13.9898822649
0.00170916711808,1852397,-6.37174909258,14.4319910341
0.00119314960455,3276656,-6.73115874175,15.0023339481
0.000832923804696,6393083,-7.09056839093,15.6707271826
0.000581454380726,11550148,-7.44997804011,16.2622088087
0.000405906512648,19386444,-7.80938768929,16.7800846169
0.000283358596085,31837598,-8.16879733847,17.2761584764
0.000197809326712,48448022,-8.52820698765,17.6960020699
0.000138088380854,69018777,-8.88761663683,18.049889156
9.63978860038e-05,95758158,-9.24702628601,18.3773363834
