eps,N,log_eps,log_N
0.523079840892,8,-0.64802116712,2.07944154168
0.383374746789,11,-0.958742317026,2.3978952728
0.280982337658,13,-1.26946346693,2.56494935746
0.205937075243,18,-1.58018461684,2.8903717579
0.150935034968,23,-1.89090576674,3.13549421593
0.11062303742,31,-2.20162691665,3.43398720449
0.0810776398638,44,-2.51234806656,3.78418963392
0.0594232796279,57,-2.82306921646,4.04305126783
0.043552404432,81,-3.13379036637,4.39444915467
0.0319203508067,108,-3.44451151628,4.68213122712
0.023395006749,148,-3.75523266618,4.99721227376
0.017146626743,201,-4.06595381609,5.30330490806
0.0125670751805,274,-4.37667496599,5.61312810639
0.00921063839315,373,-4.6873961159,5.92157841964
0.00675064471175,509,-4.99811726581,6.23244801655
0.00494767051741,694,-5.30883841571,6.54247196051
0.00362623787714,947,-5.61955956562,6.85329909319
0.00265773581634,1295,-5.93028071553,7.16626597413
0.00194790300824,1765,-6.24100186543,7.47590596937
0.00142765360883,2408,-6.55172301534,7.78655180643
0.00104635334418,3284,-6.86244416524,8.09681747057
0.000766891432274,4480,-7.17316531515,8.40737832541
0.000562068704773,6113,-7.48388646506,8.71817293003
0.000411950395571,9377,-7.79460761496,9.14601516142
0.000301925951347,16720,-8.10532876487,9.72436088664
0.000221287031344,29831,-8.41604991477,10.3033034002
0.000162185297496,47790,-8.72677106468,10.7745716916
0.000118868559826,70680,-9.03749221459,11.1659179264
8.71209334824e-05,98206,-9.34821336449,11.4948225923
6.38525196401e-05,133342,-9.6589345144,11.8006725353
