time,lambda1_rho1,lambda1_rho5,lambda1_rho10,lambda1_rho15,lambda1_rho20,lambda1_rho25,lambda1_rho26,lambda1_rho27,lambda1_rho28,lambda1_rho29,lambda1_rho30
0.10000000000000142,-1.7701645264858084,-1.710417890947191,-1.6489453623875792,-1.6189945432972916,-1.8686741222268684,-2.737625956608621,-1.9858389376903283,-0.8196222310774052,-2.2107623230324656,-1.1823910735106866,1.774549891716786
0.20000000000000284,-2.700264900711301,-1.2110180432367987,-0.5880447871147649,-0.3611568015560425,-0.4217313520814582,-2.562789323005,-2.790187359060175,-2.393896576936061,-1.1537192151969309,-0.15847817872059844,4.067411203665411
0.30000000000000426,-2.8474998955897015,-0.3128538135727407,-0.08566292251712773,-0.2595705360043183,-0.3940020720497826,-1.316988002539135,-1.4104332603946292,-2.831314213805196,-1.267553234927167,1.2647984441656153,3.2907612936212014
0.4000000000000057,-3.3710030369568904,-0.14131447524479412,-0.5363864188837789,-0.7323927760307648,-0.7322345497074755,0.14295221556203058,0.09196065575198387,-0.5199511273575159,-0.7584388965877312,1.3224811717624319,1.903670138019916
0.5000000000000071,-4.138176763386682,-0.46145954871911987,-0.8368106476472136,-0.7039558675130966,-0.44983875498716225,1.315062411848098,1.4121729674742753,0.595135489650763,0.001010594344455259,0.8148880030894637,0.6702720975172326
0.6000000000000085,-3.4819280705305933,-0.8068386676598347,-0.7875799315144111,-0.36823347634443354,-0.2084766407147146,1.9894504546618694,2.4849541656373635,0.47952617526720304,-0.0227342411464285,0.4495935419908684,0.09519492548714438
0.70000000000001,-3.0007259997946547,-0.986789767501826,-0.5442352998174138,-0.28925654014446006,-0.45044597966429323,1.9107007421995896,3.2908481948591546,0.04804731727761448,-0.19394084384992208,-0.0019399636677927667,0.34572160321927203
0.8000000000000114,-2.636033478335636,-1.0135917382974908,-0.39811199927800955,-0.5213619805066858,-0.498024322102252,1.439450577899302,3.6390221380124914,-0.5213122574172775,-0.06894428740677563,-0.1529274419086816,1.0915895043440185
0.9000000000000128,-2.3511489842675917,-0.9323588325708434,-0.552817362220664,-0.5620160944280342,-0.26432107912455993,0.9256757196569254,3.197563315123669,-0.6993190078241673,-0.16702939396052416,-0.04254062718941218,1.9262246620386405
1.0000000000000142,-2.122792146566328,-0.7903789722442126,-0.710157982302603,-0.39038093334859036,-0.19454202642502935,0.4789784674882809,2.4716667828483647,-0.4175599928396883,-0.19971353602275743,0.3005629774189417,2.6765004501400416
1.1000000000000156,-1.9357608126227055,-0.6668002388662,-0.7075698808257461,-0.29730286279435814,-0.3534616569787252,0.4234798305809043,1.6946029598992138,0.1709387358248585,0.04968000645695611,0.3274710490406652,3.219721419592814
1.200000000000017,-1.7797983902309902,-0.6760569387276291,-0.5795039897902284,-0.44211300256979613,-0.3123695627253087,0.7525867159756439,1.2461258715425654,0.8320846527858436,0.24973844177432292,0.22442245992156565,3.1828520497787958
1.3000000000000185,-1.647764541796939,-0.8018753484412772,-0.4751275150579168,-0.5004395013037364,-0.17861027875513552,1.2237900170955975,0.975077032439864,1.4591016142738449,0.09587057681023714,0.11988441842154525,2.6311608945832954
1.40000000000002,-1.534545353702019,-0.9179994552305564,-0.5563554782140431,-0.3989149988704271,-0.2692852520989568,1.6093007174700948,0.7340642893394145,2.001145334391952,0.06323490524375489,-0.07583302197117162,1.914139151232518
1.5000000000000213,-1.4363853960597348,-0.9712609700024439,-0.6661239963768432,-0.3079395974192496,-0.3420669976656828,1.686451014097152,0.6535337002011185,2.30010525174481,0.11664528713235549,0.09988616645544234,1.424607897508707
1.6000000000000227,-1.3504657742476922,-0.9609192526149981,-0.6763147797489044,-0.40353218721994805,-0.24681731520465672,1.4604378168676941,0.8402538578872932,2.105138745652723,0.008866160655955075,0.276486867888471,1.1492097802489962
1.7000000000000242,-1.2746296396555834,-0.8995482448891613,-0.5938231669494051,-0.46669956475439733,-0.16525927225215864,1.1544384051289653,0.723179834330668,1.665880080368983,0.07077817992489181,0.1952178463210237,1.2406343587890132
1.8000000000000256,-1.2071986997974977,-0.8129122179888855,-0.5106689932320003,-0.40411348599485014,-0.2609711209653033,0.8438058398342367,0.6170825851260244,1.1851511308703389,0.2588799898432629,0.13122709845677502,1.380289990893712
1.900000000000027,-1.1468474908687194,-0.7612278270554611,-0.5582068344285878,-0.3174391789423151,-0.2710875459569964,0.6923779734819433,0.5846218269442871,0.8952698053595027,0.30118730210932054,-0.02287051181274085,1.2392696260179938
