time,lambda1_rho1,lambda2_rho1,lambda3_rho1,lambda1_rho5,lambda2_rho5,lambda3_rho5,lambda1_rho10,lambda2_rho10,lambda3_rho10,lambda1_rho15,lambda2_rho15,lambda3_rho15,lambda1_rho20,lambda2_rho20,lambda3_rho20,lambda1_rho25,lambda2_rho25,lambda3_rho25,lambda1_rho26,lambda2_rho26,lambda3_rho26,lambda1_rho27,lambda2_rho27,lambda3_rho27,lambda1_rho28,lambda2_rho28,lambda3_rho28,lambda1_rho29,lambda2_rho29,lambda3_rho29,lambda1_rho30,lambda2_rho30,lambda3_rho30
0.10000000000000142,-1.7701645264858084,-2.671541768138302,-9.224960370280668,-1.710417890947191,-3.4398719885734415,-8.516376785512291,-1.6489453623875792,-4.227776376777776,-7.789944926655228,-1.6189945432972916,-4.864226254665737,-7.1834458669381185,-1.8686741222268684,-5.33538026001489,-6.462612282634774,-2.737625956608621,-4.250941485953,-6.678099226375206,-1.9858389376903283,-5.838202607717501,-5.84262512324794,-0.8196222310774052,-2.507577876232597,-10.339466558853207,-2.2107623230324656,-2.6762411892155167,-8.77966315332743,-1.1823910735106866,-5.987181523889589,-6.49709406866679,1.774549891716786,-4.4539761615782805,-10.98724038143007
0.20000000000000284,-2.700264900711301,-3.074094275682093,-7.892307487922936,-1.2110180432367987,-5.654052616830971,-6.801596004604748,-0.5880447871147649,-5.933870311302795,-7.144751565192765,-0.3611568015560425,-5.298347225030778,-8.00716263662952,-0.4217313520814582,-4.635259472217966,-8.60967583952484,-2.562789323005,-3.0124840808525244,-8.091393263902214,-2.790187359060175,-3.0376771220565693,-7.838802186270983,-2.393896576936061,-4.443076829938911,-6.829693254888641,-1.1537192151969309,-1.6660846533316556,-10.846862798063388,-0.15847817872059844,-3.564558213677412,-9.943630271650832,4.067411203665411,-8.368842337901954,-9.365235521496917
0.30000000000000426,-2.8474998955897015,-4.482390587801747,-6.3367761810614,-0.3128538135727407,-5.608712738268248,-7.745100112134036,-0.08566292251712773,-4.537037586384421,-9.043966154301437,-0.2595705360043183,-3.650887112010633,-9.756209014951336,-0.3940020720497826,-2.99230112301854,-10.280363468698422,-1.316988002539135,-2.6694941392645433,-9.68018452482331,-1.4104332603946292,-2.4899771694900386,-9.766256236582532,-2.831314213805196,-3.194475765181913,-7.6408766825805134,-1.267553234927167,-1.325410043692805,-11.073703388313985,1.2647984441656153,-2.864094400738149,-12.06737070756705,3.2907612936212014,-5.1030889867628755,-11.85433896615788
0.4000000000000057,-3.3710030369568904,-5.058123085638259,-5.237540542014126,-0.14131447524479412,-4.659740917364236,-8.865611271191854,-0.5363864188837789,-3.1710805357581084,-9.959199708297156,-0.7323927760307648,-2.34739680896018,-10.586877077771183,-0.7322345497074755,-1.8880960195819823,-11.046336094234933,0.14295221556203058,-2.659478202404823,-11.150140678336031,0.09196065575198387,-2.3805291191376883,-11.37809820106099,-0.5199511273575159,-5.99722149302317,-7.149494040889943,-0.7584388965877312,-1.52242595502962,-11.385801814206392,1.3224811717624319,-2.1206826615462804,-12.868465174841276,1.903670138019916,-3.7604309384753467,-11.809905861475388
0.5000000000000071,-4.138176763386682,-4.359247235281607,-5.169242666081172,-0.46145954871911987,-3.71534760802756,-9.489859506966601,-0.8368106476472136,-2.357228886750772,-10.472627128459965,-0.7039558675130966,-1.8987685778110417,-11.063942217302289,-0.44983875498716225,-1.7445517145332892,-11.472276193932856,1.315062411848098,-2.610692130368891,-12.371036946132499,1.4121729674742753,-2.381913644408432,-12.696925986757122,0.595135489650763,-5.859692965854435,-8.40210918464991,0.001010594344455259,-1.651682597659335,-12.015994661156792,0.8148880030894637,-1.6617554084196844,-12.81979926015972,0.6702720975172326,-3.1369355973857513,-11.200003163070773
0.6000000000000085,-3.4819280705305933,-4.817394163628388,-5.367344430710029,-0.8068386676598347,-2.9741594711810153,-9.885668524856804,-0.7875799315144111,-2.072291044178997,-10.806795687121319,-0.36823347634443354,-1.9193849766267794,-11.379048209650424,-0.2084766407147146,-1.701002781944788,-11.757187240622153,1.9894504546618694,-2.3827664146307996,-13.273350704339299,2.4849541656373635,-2.3926559688582385,-13.758964859855261,0.47952617526720304,-4.541491599765222,-9.604701237450266,-0.0227342411464285,-0.9383469069300798,-12.705585515640735,0.4495935419908684,-1.54861069559995,-12.567649512078598,0.09519492548714438,-2.4915272185417843,-11.270334370213977
0.70000000000001,-3.0007259997946547,-4.503533462774519,-6.162407202393872,-0.986789767501826,-2.517483489052748,-10.162393407141229,-0.5442352998174138,-2.077771919163309,-11.044659443822974,-0.28925654014446006,-1.7732227134054377,-11.604187409017912,-0.45044597966429323,-1.237604533708097,-11.978616149774776,1.9107007421995896,-1.853434799766276,-13.723932606970614,3.2908481948591546,-2.3594114520577993,-14.598103405081256,0.04804731727761448,-3.998540556546815,-9.716173423803042,-0.19394084384992208,-0.25278675755592417,-13.219939062324844,-0.0019399636677927667,-1.0599177394520662,-12.604808962003197,0.34572160321927203,-2.0966256525583193,-11.915762613749603
0.8000000000000114,-2.636033478335636,-4.262987367845153,-6.767645818759386,-1.0135917382974908,-2.284578158303789,-10.36849676709429,-0.39811199927800955,-2.045279162924673,-11.223275500582199,-0.5213619805066858,-1.3718586622491138,-11.773446019811674,-0.498024322102252,-1.0051508267808988,-12.163491514074245,1.439450577899302,-1.5496624805110486,-13.556454762515775,3.6390221380124914,-2.1560351366971036,-15.14965366380999,-0.5213122574172775,-3.528540099869082,-9.616814306186637,-0.06894428740677563,-0.22003578854138905,-13.377686588212619,-0.1529274419086816,-0.5857627067978955,-12.927976515605083,1.0915895043440185,-2.0461892022944377,-12.712066964814005
0.9000000000000128,-2.3511489842675917,-4.077406000969925,-7.238111679641616,-0.9323588325708434,-2.2057646083005022,-10.528543222823995,-0.552817362220664,-1.7514928926302031,-11.362356407914424,-0.5620160944280342,-1.1989948078673887,-11.905655760202803,-0.26432107912455993,-1.086711359679009,-12.315634224094685,0.9256757196569254,-1.496228163552039,-13.096114221509474,3.197563315123669,-1.7536263327014412,-15.110603645537333,-0.6993190078241673,-3.0694928425882915,-9.897854813156295,-0.16702939396052416,-0.2999844448579726,-13.199652825904822,-0.04254062718941218,-0.2927839042959556,-13.331342132566224,1.9262246620386405,-2.106060076245722,-13.486831247939707
1.0000000000000142,-2.122792146566328,-3.9301514446559267,-7.613723073609716,-0.7903789722442126,-2.2197184386014555,-10.656569252849517,-0.710157982302603,-1.482833563336462,-11.47367511711692,-0.39038093334859036,-1.2642982570889858,-12.011987472056814,-0.19454202642502935,-1.0395592708427355,-12.432565365572064,0.4789784674882809,-1.2723303900457734,-12.87331474277946,2.4716667828483647,-1.7004664337253812,-14.4378670128438,-0.4175599928396883,-2.7596288975261842,-10.48947777305785,-0.19971353602275743,-0.45089700595038645,-13.016056122735922,0.3005629774189417,-0.34888409901960005,-13.618345542522981,2.6765004501400416,-2.151457747733785,-14.191709363551123
