eps,N,log_eps,log_N
14.5126637949,22,2.67502163343,3.09104245336
10.0276185104,46,2.30534313713,3.82864139649
6.92864758746,77,1.93566464083,4.34380542185
4.78739367093,153,1.56598614453,5.03043792139
3.30788048767,308,1.19630764823,5.73009978297
2.28560132565,605,0.826629151936,6.40522845803
1.57925095519,1199,0.456950655637,7.08924315503
1.09119361784,2343,0.0872721593387,7.75918743851
0.753967257518,4432,-0.28240633696,8.39660622843
0.520958532119,8291,-0.652084833259,9.02292586812
0.359959652732,14414,-1.02176332956,9.57595523548
0.24871644019,24696,-1.39144182586,10.1143965662
0.171852226079,46079,-1.76112032215,10.7381125937
0.118742402335,95123,-2.13079881845,11.46292607
0.0820458275924,198377,-2.50047731475,12.1979245397
0.0566900929487,379922,-2.87015581105,12.8477212475
