eps,N,log_eps,log_N
0.741113958698,105,-0.299600875095,4.65396035016
0.588222538833,162,-0.530649935281,5.08759633523
0.466872538467,242,-0.761698995468,5.48893772616
0.370556979349,369,-0.992748055655,5.91079664404
0.294111269416,564,-1.22379711584,6.3350542515
0.233436269234,873,-1.45484617603,6.77193555584
0.185278489675,1343,-1.68589523621,7.20266119652
0.147055634708,2077,-1.9169442964,7.63867982388
0.116718134617,3201,-2.14799335659,8.07121853997
0.0926392448373,4883,-2.37904241677,8.49351506406
0.0735278173541,7437,-2.61009147696,8.9142228207
0.0583590673084,11173,-2.84114053715,9.32125543255
0.0463196224186,16593,-3.07218959733,9.71673619866
0.0367639086771,24147,-3.30323865752,10.0919154278
0.0291795336542,35117,-3.53428771771,10.4664406227
0.0231598112093,53225,-3.76533677789,10.8822834898
0.0183819543385,86261,-3.99638583808,11.365132863
0.0145897668271,144873,-4.22743489827,11.8836127755
0.0115799056047,239650,-4.45848395845,12.3869348046
0.00919097716926,384299,-4.68953301864,12.8591761744
0.00729488341355,594768,-4.92058207883,13.2959266925
0.00578995280233,878104,-5.15163113901,13.6855203166
0.00459548858463,1241720,-5.3826801992,14.0320080732
0.00364744170678,1696879,-5.61372925939,14.3443012394
0.00289497640116,2256964,-5.84477831957,14.6295311053
0.00229774429232,2937046,-6.07582737976,14.8929148723
0.00182372085339,3771595,-6.30687643995,15.1430085469
0.00144748820058,4775275,-6.53792550013,15.3789621219
