eps,N,log_eps,log_N
13.696215768,13,2.61711957336,2.56494935746
10.0382061046,16,2.30639842346,2.77258872224
7.35718416716,25,1.99567727355,3.21887582487
5.39221433646,37,1.68495612365,3.61091791264
3.95205214246,54,1.37423497374,3.98898404656
2.89653102828,89,1.06351382383,4.48863636973
2.12292037033,133,0.752792673928,4.89034912822
1.55592702261,205,0.442071524022,5.32300997914
1.1403672665,331,0.131350374115,5.80211837538
0.835795949036,489,-0.179370775791,6.19236248947
0.612570080665,697,-0.490091925697,6.54678541076
0.448963774182,970,-0.800813075603,6.8772960715
0.329053730978,1353,-1.11153422551,7.21007962817
0.241169475349,1878,-1.42225537542,7.53796265977
0.176757502999,2582,-1.73297652532,7.85631957141
0.129548794769,3555,-2.04369767523,8.17611034224
0.0949486722845,4856,-2.35441882513,8.48797033274
0.0695896120428,6669,-2.66513997504,8.80522520263
0.0510034947066,9123,-2.97586112495,9.11855397635
0.0373813906404,12459,-3.28658227485,9.4301985323
0.0273975023526,17026,-3.59730342476,9.74249686644
0.020080128703,23267,-3.90802457466,10.0547913266
0.0147170922204,33421,-4.21874572457,10.4169397239
0.0107864250586,48785,-4.52946687448,10.7951781675
0.00790556747239,72058,-4.84018802438,11.1852266293
0.00579413445333,123198,-5.15090917429,11.7215480962
0.00424662671978,228649,-5.4616303242,12.3399433556
0.00311243010365,386917,-5.7723514741,12.8659654787
0.00228115673671,586230,-6.08307262401,13.281467483
0.00167190133887,826990,-6.39379377391,13.625547882
