eps,N,log_eps,log_N
1.34079107158,74,0.293259791699,4.3040650932
0.982690207843,120,-0.0174613582075,4.78749174278
0.720231559606,169,-0.328182508114,5.12989871492
0.527870833873,254,-0.63890365802,5.53733426702
0.386886152845,362,-0.949624807926,5.89164421183
0.283555911141,497,-1.26034595783,6.2085900261
0.207823294143,675,-1.57106710774,6.51471269087
0.15231747917,927,-1.88178825764,6.83195356557
0.111636255966,1280,-2.19250940755,7.15461535691
0.0818202461987,1739,-2.50323055746,7.46106551435
0.0599675493424,2377,-2.81395170736,7.77359446736
0.0439513096232,3230,-3.12467285727,8.08023741622
0.0322127156901,4398,-3.43539400718,8.38890517111
0.0236092862994,5997,-3.74611515708,8.69901462317
0.01730367613,8173,-4.05683630699,9.00859131752
0.0126821795379,11143,-4.36755745689,9.31856677705
0.00929500047412,15199,-4.6782786068,9.6289849152
0.00681247521812,20711,-4.98899975671,9.93842023908
0.00499298722219,28258,-5.29972090661,10.2491318823
0.00365945131582,38609,-5.61044205652,10.5612406889
0.00268207855076,58224,-5.92116320642,10.9720529199
0.00196574424186,91076,-6.23188435633,11.4194496018
0.00144072977404,133611,-6.54260550624,11.802687872
0.00105593710393,198830,-6.85332665614,12.2002054673
0.000773915544432,286188,-7.16404780605,12.5644042165
0.000567216804565,408832,-7.47476895596,12.9210595927
