eps,N,log_eps,log_N
13.2038987627,40,2.5805121468,3.68887945411
9.63541378083,64,2.26544524654,4.15888308336
7.03134736156,103,1.95037834629,4.63472898823
5.13105579517,183,1.63531144603,5.20948615284
3.7443369271,327,1.32024454578,5.7899601709
2.73239262703,585,1.00517764552,6.37161184723
1.99393634003,1056,0.690110745269,6.96224346427
1.45505521014,1930,0.375043845014,7.5652752819
1.06181206593,3439,0.0599769447597,8.14293601043
0.774846793099,6151,-0.255089955495,8.72436994921
0.56543673974,10979,-0.570156855749,9.30373963623
0.412621836336,19478,-0.885223756004,9.87704090252
0.301106680651,34241,-1.20029065626,10.4411790354
0.219729605049,58864,-1.51535755651,10.9829849773
0.160345493599,99278,-1.83042445677,11.5056792746
0.117010528972,169345,-2.14549135702,12.0396933332
0.0853872695948,290791,-2.46055825728,12.5803600751
0.062310510626,503703,-2.77562515753,13.1297420876
0.0454704753168,929418,-3.09069205779,13.7423138628
0.0331816270603,1817132,-3.40575895804,14.412769992
0.0242139622844,3336128,-3.72082585829,15.020321411
0.0176698981169,5393776,-4.03589275855,15.5007562542
0.0128944323855,7770216,-4.3509596588,15.8658085212
0.00940958377034,10672548,-4.66602655906,16.1831853951
0.00686655015778,14445193,-4.98109345931,16.4858722528
0.00501079667497,19362760,-5.29616035957,16.7788621916
0.00365657903037,25903087,-5.61122725982,17.0698727088
0.00266835217484,34751568,-5.92629416008,17.3637352513
0.00194720345706,46818002,-6.24136106033,17.661778345
0.00142095235365,63317012,-6.55642796059,17.963664603
0.00103692584564,85895129,-6.87149486084,18.2686376799
0.000756686321386,116800285,-7.18656176109,18.5759760684
0.000552184316152,159112736,-7.50162866135,18.8851235404
0.000402951012047,217072334,-7.8166955616,19.1957411924
